#SampleID	Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	dna_extracted	geo_loc_name	geography	host_age	host_age_month	host_age_years	host_common_name	host_gravidity	host_head_width_mm	host_length_mm	host_scientific_name	host_sex	host_state	host_subject_id	host_taxid	host_tot_mass_g	host_weight	latitude	loc_rad_geiger_gamma_usv_per_h	loc_rad_log	location	log_loc_rad_geiger_gamma_usv_per_h	longitude	mapfile	physical_specimen_location	physical_specimen_remaining	replicate	sample_type	sex	treatment	weight_units	loc2
ERR2722515	OTHER	251	PRJEB28050	SAMEA4813687	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736286	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.46	8/4/18	18	11	skin metagenome	ILLUMINA	8/4/18	ERR2722515	ERS2633587	ERP110215	qiita_sid_11844:11844.vole.46	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	13.11	NA	Myodes glareolus	male	ad	NA	447135	29.14	29.14	51.203282	0.25325	NA	CEZ	NA	30.151623	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	male	CL	g	inside CEZ
ERR2722516	OTHER	251	PRJEB28050	SAMEA4813688	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736287	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.48	8/4/18	7	4	skin metagenome	ILLUMINA	8/4/18	ERR2722516	ERS2633588	ERP110215	qiita_sid_11844:11844.vole.48	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	12.99	NA	Myodes glareolus	female	ad	NA	447135	23.55	23.55	51.209477	0.274813	NA	CEZ	NA	30.186975	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722517	OTHER	251	PRJEB28050	SAMEA4813689	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736288	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.49	8/4/18	34	21	skin metagenome	ILLUMINA	8/4/18	ERR2722517	ERS2633589	ERP110215	qiita_sid_11844:11844.vole.49	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	yes	12.88	NA	Myodes glareolus	female	ad	NA	447135	32.05	32.05	51.209477	0.274813	NA	CEZ	NA	30.186975	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722518	OTHER	251	PRJEB28050	SAMEA4813690	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736289	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.50	8/4/18	17	11	skin metagenome	ILLUMINA	8/4/18	ERR2722518	ERS2633590	ERP110215	qiita_sid_11844:11844.vole.50	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	13.36	NA	Myodes glareolus	female	ad	NA	447135	26.67	26.67	51.212497	0.309	NA	CEZ	NA	30.211561	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722519	OTHER	251	PRJEB28050	SAMEA4813691	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736290	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.55	8/4/18	11	7	skin metagenome	ILLUMINA	8/4/18	ERR2722519	ERS2633591	ERP110215	qiita_sid_11844:11844.vole.55	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	yes	12.24	NA	Myodes glareolus	female	ad	NA	447135	21.32	21.32	51.212865	0.266	NA	CEZ	NA	30.192893	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722520	OTHER	251	PRJEB28050	SAMEA4813692	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736291	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.57	8/4/18	7	4	skin metagenome	ILLUMINA	8/4/18	ERR2722520	ERS2633592	ERP110215	qiita_sid_11844:11844.vole.57	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	12.2	NA	Myodes glareolus	female	ad	NA	447135	24.84	24.84	51.212865	0.266313	NA	CEZ	NA	30.192893	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722521	OTHER	251	PRJEB28050	SAMEA4813693	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736292	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.69	8/4/18	5	3	skin metagenome	ILLUMINA	8/4/18	ERR2722521	ERS2633593	ERP110215	qiita_sid_11844:11844.vole.69	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	yes	12.53	NA	Myodes glareolus	female	ad	NA	447135	41.69	41.69	51.20469	0.241438	NA	CEZ	NA	30.172673	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722522	OTHER	251	PRJEB28050	SAMEA4813694	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736293	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.7	8/4/18	16	10	skin metagenome	ILLUMINA	8/4/18	ERR2722522	ERS2633594	ERP110215	qiita_sid_11844:11844.vole.7	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	12.56	NA	Myodes glareolus	female	ad	NA	447135	18.14	18.14	51.203282	0.25325	NA	CEZ	NA	30.151623	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722523	OTHER	251	PRJEB28050	SAMEA4813695	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736294	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.70	8/4/18	6	3	skin metagenome	ILLUMINA	8/4/18	ERR2722523	ERS2633595	ERP110215	qiita_sid_11844:11844.vole.70	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	12.63	NA	Myodes glareolus	female	ad	NA	447135	23.02	23.02	51.212865	0.266313	NA	CEZ	NA	30.192893	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722524	OTHER	251	PRJEB28050	SAMEA4813696	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736295	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.72	8/4/18	3	2	skin metagenome	ILLUMINA	8/4/18	ERR2722524	ERS2633596	ERP110215	qiita_sid_11844:11844.vole.72	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.16	NA	Myodes glareolus	male	ad	NA	447135	24.33	24.33	51.385139	13.86	NA	CEZ	NA	30.038926	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722525	OTHER	251	PRJEB28050	SAMEA4813697	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736296	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.73	8/4/18	3	2	skin metagenome	ILLUMINA	8/4/18	ERR2722525	ERS2633597	ERP110215	qiita_sid_11844:11844.vole.73	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Forestry	2~5	2~5	NA	Bank vole	no	12.89	NA	Myodes glareolus	female	ad	NA	447135	19.13	19.13	51.382881	26.606875	NA	CEZ	NA	30.001564	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722526	OTHER	251	PRJEB28050	SAMEA4813698	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736297	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.75	8/4/18	19	11	skin metagenome	ILLUMINA	8/4/18	ERR2722526	ERS2633598	ERP110215	qiita_sid_11844:11844.vole.75	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.97	NA	Myodes glareolus	female	ad	NA	447135	20.05	20.05	51.380876	24.1725	NA	CEZ	NA	30.028058	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722527	OTHER	251	PRJEB28050	SAMEA4813699	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736298	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.76	8/4/18	30	19	skin metagenome	ILLUMINA	8/4/18	ERR2722527	ERS2633599	ERP110215	qiita_sid_11844:11844.vole.76	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Forestry	1	1	NA	Bank vole	no	11.74	NA	Myodes glareolus	male	juv	NA	447135	19.45	19.45	51.382881	26.606875	NA	CEZ	NA	30.001564	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722528	OTHER	251	PRJEB28050	SAMEA4813700	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736299	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.78	8/4/18	23	15	skin metagenome	ILLUMINA	8/4/18	ERR2722528	ERS2633600	ERP110215	qiita_sid_11844:11844.vole.78	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.6	NA	Myodes glareolus	female	ad	NA	447135	17.77	17.77	51.385139	13.860875	NA	CEZ	NA	30.038926	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722529	OTHER	251	PRJEB28050	SAMEA4813701	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736300	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.8	8/4/18	14	9	skin metagenome	ILLUMINA	8/4/18	ERR2722529	ERS2633601	ERP110215	qiita_sid_11844:11844.vole.8	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	13.03	NA	Myodes glareolus	male	ad	NA	447135	23.49	23.49	51.203282	0.25325	NA	CEZ	NA	30.151623	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	male	CL	g	inside CEZ
ERR2722530	OTHER	251	PRJEB28050	SAMEA4813702	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736301	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.97	8/4/18	8	5	skin metagenome	ILLUMINA	8/4/18	ERR2722530	ERS2633602	ERP110215	qiita_sid_11844:11844.vole.97	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	yes	12.39	NA	Myodes glareolus	female	ad	NA	447135	21.55	21.55	51.212497	0.309063	NA	CEZ	NA	30.211561	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722531	OTHER	251	PRJEB28050	SAMEA4813703	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736302	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.99	8/4/18	14	9	skin metagenome	ILLUMINA	8/4/18	ERR2722531	ERS2633603	ERP110215	qiita_sid_11844:11844.vole.99	NA	months	NA	NA	NA	5/28/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Yampil	2~5	2~5	NA	Bank vole	no	12.57	NA	Myodes glareolus	female	ad	NA	447135	25.66	25.66	51.212497	0.309	NA	CEZ	NA	30.211561	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL2	skin	female	CL	g	inside CEZ
ERR2722532	OTHER	251	PRJEB28050	SAMEA4813704	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736303	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K10	8/4/18	10	5	skin metagenome	ILLUMINA	8/4/18	ERR2722532	ERS2633604	ERP110215	qiita_sid_11844:11844.vole.K10	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.51	NA	Myodes glareolus	male	ad	NA	447135	23.54	23.54	50.52127	0.151	NA	Kyiv	NA	30.42486	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722533	OTHER	251	PRJEB28050	SAMEA4813705	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736304	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K11	8/4/18	8	4	skin metagenome	ILLUMINA	8/4/18	ERR2722533	ERS2633605	ERP110215	qiita_sid_11844:11844.vole.K11	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.23	NA	Myodes glareolus	female	ad	NA	447135	22.32	22.32	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722534	OTHER	251	PRJEB28050	SAMEA4813706	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736305	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K12	8/4/18	2	1	skin metagenome	ILLUMINA	8/4/18	ERR2722534	ERS2633606	ERP110215	qiita_sid_11844:11844.vole.K12	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	yes	12.31	NA	Myodes glareolus	female	ad	NA	447135	23.43	23.43	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722535	OTHER	251	PRJEB28050	SAMEA4813707	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736306	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K17	8/4/18	1	0	skin metagenome	ILLUMINA	8/4/18	ERR2722535	ERS2633607	ERP110215	qiita_sid_11844:11844.vole.K17	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.54	NA	Myodes glareolus	female	ad	NA	447135	27.65	27.65	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722536	OTHER	251	PRJEB28050	SAMEA4813708	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736307	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K18	8/4/18	0	0	skin metagenome	ILLUMINA	8/4/18	ERR2722536	ERS2633608	ERP110215	qiita_sid_11844:11844.vole.K18	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	13.45	NA	Myodes glareolus	male	ad	NA	447135	26.15	26.15	50.5269	0.151	NA	Kyiv	NA	30.4439	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722537	OTHER	251	PRJEB28050	SAMEA4813709	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736308	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K21	8/4/18	7	4	skin metagenome	ILLUMINA	8/4/18	ERR2722537	ERS2633609	ERP110215	qiita_sid_11844:11844.vole.K21	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.02	NA	Myodes glareolus	female	ad	NA	447135	14.54	14.54	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722538	OTHER	251	PRJEB28050	SAMEA4813710	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736309	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K24	8/4/18	8	5	skin metagenome	ILLUMINA	8/4/18	ERR2722538	ERS2633610	ERP110215	qiita_sid_11844:11844.vole.K24	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.77	NA	Myodes glareolus	female	ad	NA	447135	26.75	26.75	50.5269	0.151	NA	Kyiv	NA	30.4439	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722539	OTHER	251	PRJEB28050	SAMEA4813711	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736310	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K25	8/4/18	10	6	skin metagenome	ILLUMINA	8/4/18	ERR2722539	ERS2633611	ERP110215	qiita_sid_11844:11844.vole.K25	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	1	1	NA	Bank vole	no	11.76	NA	Myodes glareolus	male	juv	NA	447135	21.9	21.9	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722540	OTHER	251	PRJEB28050	SAMEA4813712	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736311	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K26	8/4/18	6	3	skin metagenome	ILLUMINA	8/4/18	ERR2722540	ERS2633612	ERP110215	qiita_sid_11844:11844.vole.K26	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	1	1	NA	Bank vole	no	11.83	NA	Myodes glareolus	male	juv	NA	447135	17.86	17.86	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722541	OTHER	251	PRJEB28050	SAMEA4813713	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736312	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K28	8/4/18	12	7	skin metagenome	ILLUMINA	8/4/18	ERR2722541	ERS2633613	ERP110215	qiita_sid_11844:11844.vole.K28	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.76	NA	Myodes glareolus	male	ad	NA	447135	19.06	19.06	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722542	OTHER	251	PRJEB28050	SAMEA4813714	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736313	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K3	8/4/18	3	1	skin metagenome	ILLUMINA	8/4/18	ERR2722542	ERS2633614	ERP110215	qiita_sid_11844:11844.vole.K3	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.94	NA	Myodes glareolus	male	ad	NA	447135	24.75	24.75	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722543	OTHER	251	PRJEB28050	SAMEA4813715	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736314	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K31	8/4/18	11	6	skin metagenome	ILLUMINA	8/4/18	ERR2722543	ERS2633615	ERP110215	qiita_sid_11844:11844.vole.K31	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.72	NA	Myodes glareolus	female	ad	NA	447135	24.07	24.07	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722544	OTHER	251	PRJEB28050	SAMEA4813716	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736315	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K32	8/4/18	9	5	skin metagenome	ILLUMINA	8/4/18	ERR2722544	ERS2633616	ERP110215	qiita_sid_11844:11844.vole.K32	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	no	12.76	NA	Myodes glareolus	male	ad	NA	447135	17.1	17.1	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722545	OTHER	251	PRJEB28050	SAMEA4813717	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736316	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K33	8/4/18	17	10	skin metagenome	ILLUMINA	8/4/18	ERR2722545	ERS2633617	ERP110215	qiita_sid_11844:11844.vole.K33	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	yes	12.74	NA	Myodes glareolus	female	ad	NA	447135	23.17	23.17	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722546	OTHER	251	PRJEB28050	SAMEA4813718	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736317	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K36	8/4/18	7	4	skin metagenome	ILLUMINA	8/4/18	ERR2722546	ERS2633618	ERP110215	qiita_sid_11844:11844.vole.K36	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	1	1	NA	Bank vole	no	11.53	NA	Myodes glareolus	male	juv	NA	447135	19.53	19.53	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	male	KL	g	near Kyiv
ERR2722547	OTHER	251	PRJEB28050	SAMEA4813719	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736318	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K37	8/4/18	8	5	skin metagenome	ILLUMINA	8/4/18	ERR2722547	ERS2633619	ERP110215	qiita_sid_11844:11844.vole.K37	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	yes	13.41	NA	Myodes glareolus	female	ad	NA	447135	24.64	24.64	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
ERR2722548	OTHER	251	PRJEB28050	SAMEA4813720	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736319	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.K38	8/4/18	5	3	skin metagenome	ILLUMINA	8/4/18	ERR2722548	ERS2633620	ERP110215	qiita_sid_11844:11844.vole.K38	NA	months	NA	NA	NA	6/15/16	TRUE	Kyiv area	OutgroupRS	2~5	2~5	NA	Bank vole	yes	12.91	NA	Myodes glareolus	female	ad	NA	447135	18.47	18.47	50.525859	0.151	NA	Kyiv	NA	30.436933	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	KL1	skin	female	KL	g	near Kyiv
