Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR13737321	AMPLICON	371	27371615	PRJNA702770	SAMN17978402	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13747187	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124666	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.5 E	D29	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample26	SRP306992
SRR13737279	AMPLICON	370	29324947	PRJNA702770	SAMN17978387	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14905174	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124708	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42 N 123 E	D14	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample11	SRP306992
SRR13737294	AMPLICON	369	28124342	PRJNA702770	SAMN17978382	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14318650	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124693	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.5 N 123 E	D9	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample6	SRP306992
SRR13737336	AMPLICON	371	26137341	PRJNA702770	SAMN17978388	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13110258	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124651	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.1 N 123 E	D15	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample12	SRP306992
SRR13737311	AMPLICON	371	24972489	PRJNA702770	SAMN17978411	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12821827	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124676	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.4 E	W9	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample35	SRP306992
SRR13737293	AMPLICON	371	27221464	PRJNA702770	SAMN17978427	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13443715	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124694	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.7 E	W25	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample51	SRP306992
SRR13737324	AMPLICON	371	26397475	PRJNA702770	SAMN17978399	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13420634	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124663	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.2 E	D26	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample23	SRP306992
SRR13737288	AMPLICON	370	28797448	PRJNA702770	SAMN17978432	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14698169	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124699	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.12 E	W30	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample56	SRP306992
SRR13737307	AMPLICON	371	26390780	PRJNA702770	SAMN17978415	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13291062	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124680	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.8 E	W13	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample39	SRP306992
SRR13737333	AMPLICON	370	27792228	PRJNA702770	SAMN17978391	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14101945	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124654	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	43.2 N 123 E	D18	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample15	SRP306992
SRR13737304	AMPLICON	371	26408576	PRJNA702770	SAMN17978417	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13407254	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124683	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 125 E	W15	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample41	SRP306992
SRR13737283	AMPLICON	370	21652710	PRJNA702770	SAMN17978385	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	11173022	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124704	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.8 N 123 E	D12	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample9	SRP306992
SRR13737306	AMPLICON	371	25198428	PRJNA702770	SAMN17978416	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12760379	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124681	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.9 E	W14	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample40	SRP306992
SRR13737314	AMPLICON	371	29051722	PRJNA702770	SAMN17978408	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14891729	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124673	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.1 E	W6	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample32	SRP306992
SRR13737323	AMPLICON	372	27133961	PRJNA702770	SAMN17978400	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13149852	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124664	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.3 E	D27	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample24	SRP306992
SRR13737328	AMPLICON	369	31508360	PRJNA702770	SAMN17978396	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	16141854	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124659	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.8 N 123 E	D23	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample20	SRP306992
SRR13737301	AMPLICON	370	26187735	PRJNA702770	SAMN17978420	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13182159	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124686	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 128 E	W18	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample44	SRP306992
SRR13737292	AMPLICON	370	26086451	PRJNA702770	SAMN17978428	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13159390	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124695	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.8 E	W26	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample52	SRP306992
SRR13737334	AMPLICON	370	28952760	PRJNA702770	SAMN17978390	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14761982	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124653	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.3 N 123 E	D17	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample14	SRP306992
